Image,Number,Artist,Title,Streams,Date
0,2,Marshmello,Happier,"4,429",2018-11-30
1,3,Halsey,Without Me,"4,245",2018-11-30
2,4,benny blanco,Eastside (with Halsey & Khalid),"4,010",2018-11-30
3,5,Sheck Wes,Mo Bamba,"3,827",2018-11-30
4,6,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"3,796",2018-11-30
5,7,5 Seconds of Summer,Youngblood,"3,644",2018-11-30
6,8,Dynoro,In My Mind,"3,619",2018-11-30
7,9,Travis Scott,SICKO MODE,"3,608",2018-11-30
8,10,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"3,486",2018-11-30
9,11,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","3,377",2018-11-30
10,12,Kodak Black,ZEZE (feat. Travis Scott & Offset),"3,344",2018-11-30
11,13,Khalid,Better,"3,292",2018-11-30
12,14,6ix9ine,TIC TOC,"3,276",2018-11-30
13,15,Post Malone,Better Now,"3,162",2018-11-30
14,16,Meek Mill,Going Bad (feat. Drake),"2,796",2018-11-30
15,17,George Ezra,Shotgun,"2,745",2018-11-30
16,18,Maroon 5,Girls Like You (feat. Cardi B),"2,729",2018-11-30
17,19,Billie Eilish,when the party's over,"2,614",2018-11-30
18,20,Juice WRLD,Lucid Dreams,"2,602",2018-11-30
19,21,Jonas Blue,Rise,"2,545",2018-11-30
20,22,Lady Gaga,Shallow,"2,492",2018-11-30
21,23,Loud Luxury,Body (feat. Brando),"2,491",2018-11-30
22,24,Calvin Harris,Promises (with Sam Smith),"2,458",2018-11-30
23,25,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,447",2018-11-30
24,26,Cassper Nyovest,Who Got The Block Hot?,"2,447",2018-11-30
25,27,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,367",2018-11-30
26,28,Meek Mill,What's Free (feat. Rick Ross & Jay Z),"2,298",2018-11-30
27,29,6ix9ine,MAMA,"2,287",2018-11-30
28,30,Prince Kaybee,Banomoya,"2,256",2018-11-30
29,31,Kygo,Happy Now,"2,229",2018-11-30
30,32,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),"2,171",2018-11-30
31,33,Lauv,I Like Me Better,"2,111",2018-11-30
32,34,Dean Lewis,Be Alright,"2,063",2018-11-30
33,35,Imagine Dragons,Bad Liar,"2,056",2018-11-30
34,36,Tyga,Taste (feat. Offset),"2,046",2018-11-30
35,37,XXXTENTACION,SAD!,"2,039",2018-11-30
36,38,Anne-Marie,2002,"2,035",2018-11-30
37,39,XXXTENTACION,BAD!,"2,004",2018-11-30
38,40,Billie Eilish,come out and play,"1,996",2018-11-30
39,41,The Chainsmokers,This Feeling (feat. Kelsea Ballerini),"1,983",2018-11-30
40,42,Zedd,The Middle,"1,977",2018-11-30
41,43,Bad Bunny,MIA (feat. Drake),"1,936",2018-11-30
42,44,AKA,Fela In Versace,"1,900",2018-11-30
43,45,Zara Larsson,Ruin My Life,"1,873",2018-11-30
44,46,Little Mix,Woman Like Me (feat. Nicki Minaj),"1,842",2018-11-30
45,47,Meek Mill,On Me (feat. Cardi B),"1,841",2018-11-30
46,48,Drake,Nonstop,"1,825",2018-11-30
47,49,Post Malone,rockstar (feat. 21 Savage),"1,823",2018-11-30
48,50,Lady Zamar,Collide,"1,820",2018-11-30
49,51,6ix9ine,KIKA,"1,815",2018-11-30
50,52,Zedd,Happy Now,"1,811",2018-11-30
51,53,XXXTENTACION,Moonlight,"1,761",2018-11-30
52,54,Gucci Mane,Wake Up in the Sky,"1,745",2018-11-30
53,55,Dua Lipa,Kiss and Make Up,"1,744",2018-11-30
54,56,Martin Garrix,Ocean (feat. Khalid),"1,734",2018-11-30
55,57,Ava Max,Sweet but Psycho,"1,724",2018-11-30
56,58,Alesso,REMEDY,"1,707",2018-11-30
57,59,Lil Peep,Falling Down - Bonus Track,"1,693",2018-11-30
58,60,Tiësto,Jackie Chan,"1,685",2018-11-30
59,61,Cardi B,Money,"1,681",2018-11-30
60,62,Rita Ora,Let You Love Me,"1,678",2018-11-30
61,63,The Chainsmokers,Closer,"1,674",2018-11-30
62,64,Billie Eilish,lovely (with Khalid),"1,665",2018-11-30
63,65,Kanye West,I Love It (& Lil Pump),"1,647",2018-11-30
64,66,Imagine Dragons,Thunder,"1,638",2018-11-30
65,67,Clean Bandit,Solo (feat. Demi Lovato),"1,611",2018-11-30
66,68,Drake,In My Feelings,"1,591",2018-11-30
67,69,Eminem,Lucky You (feat. Joyner Lucas),"1,588",2018-11-30
68,70,Khalid,Saturday Nights,"1,580",2018-11-30
69,71,Lil Baby,Drip Too Hard (Lil Baby & Gunna),"1,575",2018-11-30
70,72,Kygo,Born To Be Yours,"1,570",2018-11-30
71,73,Meek Mill,Uptown Vibes (feat. Fabolous & Anuel AA),"1,570",2018-11-30
72,74,Dua Lipa,IDGAF,"1,559",2018-11-30
73,75,Martin Garrix,High On Life (feat. Bonn),"1,549",2018-11-30
74,76,Bazzi,Beautiful (feat. Camila Cabello),"1,548",2018-11-30
75,77,Ariana Grande,no tears left to cry,"1,546",2018-11-30
76,78,Marshmello,FRIENDS,"1,508",2018-11-30
77,79,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),"1,499",2018-11-30
78,80,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,"1,487",2018-11-30
79,81,Queen,Bohemian Rhapsody - 2011 Mix,"1,482",2018-11-30
80,82,Imagine Dragons,Believer,"1,482",2018-11-30
81,83,Ed Sheeran,Shape of You,"1,460",2018-11-30
82,84,Cassper Nyovest,Welcome Welcome,"1,458",2018-11-30
83,85,Maroon 5,What Lovers Do,"1,443",2018-11-30
84,86,Imagine Dragons,Natural,"1,433",2018-11-30
85,87,King Monada,Malwedhe,"1,413",2018-11-30
86,88,Ella Mai,Trip,"1,401",2018-11-30
87,89,French Montana,No Stylist,"1,396",2018-11-30
88,90,Silk City,Electricity (with Dua Lipa),"1,395",2018-11-30
89,91,DJ Khaled,No Brainer,"1,386",2018-11-30
90,92,Cassper Nyovest,Gets Getsa,"1,385",2018-11-30
91,93,Drake,God's Plan,"1,384",2018-11-30
92,94,Camila Cabello,Havana (feat. Young Thug),"1,373",2018-11-30
93,95,Khalid,Suncity (feat. Empress Of),"1,370",2018-11-30
94,96,The Chainsmokers,Beach House,"1,365",2018-11-30
95,97,Meek Mill,Respect the Game,"1,360",2018-11-30
96,98,Metro Boomin,10 Freaky Girls (with 21 Savage),"1,357",2018-11-30
97,99,Zara Larsson,Never Forget You,"1,353",2018-11-30
98,100,Ariana Grande,breathin,"1,343",2018-11-30
99,101,NF,Let You Down,"1,340",2018-11-30
100,102,Kwesta,Vur Vai,"1,336",2018-11-30
101,103,Cassper Nyovest,Ayoba,"1,323",2018-11-30
102,104,Lukas Graham,Love Someone,"1,317",2018-11-30
103,105,Meek Mill,Intro,"1,315",2018-11-30
104,106,Juice WRLD,Armed And Dangerous,"1,312",2018-11-30
105,107,Dua Lipa,New Rules,"1,290",2018-11-30
106,108,Cassper Nyovest,Remote Control,"1,290",2018-11-30
107,109,Kygo,Remind Me to Forget,"1,280",2018-11-30
108,110,DJ Sumbody,Monate Mpolaye,"1,259",2018-11-30
109,111,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),"1,243",2018-11-30
110,112,Journey,Don't Stop Believin',"1,240",2018-11-30
111,113,Billie Eilish,bellyache,"1,238",2018-11-30
112,114,benny blanco,I Found You (with Calvin Harris),"1,238",2018-11-30
113,115,benny blanco,Better To Lie (with Jesse & Swae Lee),"1,232",2018-11-30
114,116,Marshmello,Silence,"1,223",2018-11-30
115,117,Post Malone,I Fall Apart,"1,219",2018-11-30
116,118,Khalid,Young Dumb & Broke,"1,209",2018-11-30
117,119,Lauv,There's No Way (feat. Julia Michaels),"1,197",2018-11-30
118,120,Post Malone,Psycho (feat. Ty Dolla $ign),"1,185",2018-11-30
119,121,Cassper Nyovest,Tseya Ukwe,"1,170",2018-11-30
120,122,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","1,167",2018-11-30
121,123,Sia,Thunderclouds,"1,165",2018-11-30
122,124,Cardi B,I Like It,"1,160",2018-11-30
123,125,Shawn Mendes,Treat You Better,"1,159",2018-11-30
124,126,Alan Walker,Darkside,"1,157",2018-11-30
125,127,6LACK,Pretty Little Fears (feat. J. Cole),"1,148",2018-11-30
126,128,Meek Mill,Trauma,"1,145",2018-11-30
127,129,Black Coffee,Wish You Were Here,"1,142",2018-11-30
128,130,Sia,Audio,"1,141",2018-11-30
129,131,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),"1,136",2018-11-30
130,132,Panic! At The Disco,High Hopes,"1,125",2018-11-30
131,133,Cassper Nyovest,Sponono Sam,"1,125",2018-11-30
132,134,DJ Maphorisa,iWalk Ye Phara,"1,124",2018-11-30
133,135,TOTO,Africa,"1,117",2018-11-30
134,136,Cassper Nyovest,Move For Me,"1,116",2018-11-30
135,137,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),"1,112",2018-11-30
136,138,Calvin Harris,One Kiss (with Dua Lipa),"1,108",2018-11-30
137,139,Khalid,Love Lies (with Normani),"1,092",2018-11-30
138,140,6ix9ine,STOOPID,"1,090",2018-11-30
139,141,Rudimental,These Days,"1,088",2018-11-30
140,142,Avril Lavigne,Head Above Water,"1,087",2018-11-30
141,143,Meek Mill,Championships,"1,086",2018-11-30
142,144,Los Unidades,E-Lo (feat. Jozzy),"1,071",2018-11-30
143,145,Selena Gomez,Wolves,"1,052",2018-11-30
144,146,Earl Sweatshirt,Shattered Dreams,"1,049",2018-11-30
145,147,Cassper Nyovest,Hase Mo States,"1,029",2018-11-30
146,148,Meek Mill,"Splash Warning (feat. Future, Roddy Ricch and Young Thug)","1,016",2018-11-30
147,149,Flipp Dinero,Leave Me Alone,"1,008",2018-11-30
148,150,Jess Glynne,I'll Be There,"1,003",2018-11-30
149,151,Clean Bandit,Mama (feat. Ellie Goulding),"1,003",2018-11-30
150,1,Ariana Grande,"thank u, next","5,398",2018-12-01
151,2,Marshmello,Happier,"4,420",2018-12-01
152,3,Halsey,Without Me,"4,185",2018-12-01
153,4,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"3,833",2018-12-01
154,5,Dynoro,In My Mind,"3,828",2018-12-01
155,6,benny blanco,Eastside (with Halsey & Khalid),"3,750",2018-12-01
156,7,Sheck Wes,Mo Bamba,"3,640",2018-12-01
157,8,5 Seconds of Summer,Youngblood,"3,622",2018-12-01
158,9,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"3,434",2018-12-01
159,10,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","3,355",2018-12-01
160,11,Khalid,Better,"3,158",2018-12-01
161,12,Kodak Black,ZEZE (feat. Travis Scott & Offset),"3,128",2018-12-01
162,13,Travis Scott,SICKO MODE,"3,062",2018-12-01
163,14,George Ezra,Shotgun,"3,016",2018-12-01
164,15,Post Malone,Better Now,"2,965",2018-12-01
165,16,6ix9ine,TIC TOC,"2,760",2018-12-01
166,17,Juice WRLD,Lucid Dreams,"2,625",2018-12-01
167,18,Calvin Harris,Promises (with Sam Smith),"2,561",2018-12-01
168,19,Maroon 5,Girls Like You (feat. Cardi B),"2,518",2018-12-01
169,20,Lady Gaga,Shallow,"2,518",2018-12-01
170,21,Billie Eilish,when the party's over,"2,517",2018-12-01
171,22,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,402",2018-12-01
172,23,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,394",2018-12-01
173,24,Prince Kaybee,Banomoya,"2,319",2018-12-01
174,25,Jonas Blue,Rise,"2,316",2018-12-01
175,26,Loud Luxury,Body (feat. Brando),"2,239",2018-12-01
176,27,Meek Mill,Going Bad (feat. Drake),"2,145",2018-12-01
177,28,AKA,Fela In Versace,"2,086",2018-12-01
178,29,Lady Zamar,Collide,"2,021",2018-12-01
179,30,Tyga,Taste (feat. Offset),"1,985",2018-12-01
180,31,Kygo,Happy Now,"1,976",2018-12-01
181,32,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),"1,930",2018-12-01
182,33,Dean Lewis,Be Alright,"1,917",2018-12-01
183,34,XXXTENTACION,SAD!,"1,906",2018-12-01
184,35,Imagine Dragons,Bad Liar,"1,881",2018-12-01
185,36,Billie Eilish,come out and play,"1,875",2018-12-01
186,37,Lauv,I Like Me Better,"1,839",2018-12-01
187,38,Bad Bunny,MIA (feat. Drake),"1,814",2018-12-01
188,39,Zara Larsson,Ruin My Life,"1,803",2018-12-01
189,40,6ix9ine,MAMA,"1,778",2018-12-01
190,41,Alesso,REMEDY,"1,773",2018-12-01
191,42,6ix9ine,KIKA,"1,763",2018-12-01
192,43,Mariah Carey,All I Want for Christmas Is You,"1,747",2018-12-01
193,44,XXXTENTACION,BAD!,"1,747",2018-12-01
194,45,Little Mix,Woman Like Me (feat. Nicki Minaj),"1,732",2018-12-01
195,46,Zedd,The Middle,"1,705",2018-12-01
196,47,Zedd,Happy Now,"1,699",2018-12-01
197,48,Lil Peep,Falling Down - Bonus Track,"1,682",2018-12-01
198,49,Anne-Marie,2002,"1,679",2018-12-01
199,50,XXXTENTACION,Moonlight,"1,676",2018-12-01
200,51,Khalid,Saturday Nights,"1,670",2018-12-01
201,52,Tiësto,Jackie Chan,"1,655",2018-12-01
202,53,Post Malone,rockstar (feat. 21 Savage),"1,650",2018-12-01
203,54,Gucci Mane,Wake Up in the Sky,"1,642",2018-12-01
204,55,Martin Garrix,Ocean (feat. Khalid),"1,640",2018-12-01
205,56,Drake,Nonstop,"1,634",2018-12-01
206,57,Bazzi,Beautiful (feat. Camila Cabello),"1,612",2018-12-01
207,58,Ava Max,Sweet but Psycho,"1,611",2018-12-01
208,59,The Chainsmokers,This Feeling (feat. Kelsea Ballerini),"1,605",2018-12-01
209,60,Imagine Dragons,Thunder,"1,604",2018-12-01
210,61,Cardi B,Money,"1,568",2018-12-01
211,62,Drake,In My Feelings,"1,541",2018-12-01
212,63,Meek Mill,What's Free (feat. Rick Ross & Jay Z),"1,540",2018-12-01
213,64,Kanye West,I Love It (& Lil Pump),"1,514",2018-12-01
214,65,King Monada,Malwedhe,"1,512",2018-12-01
215,66,Billie Eilish,lovely (with Khalid),"1,507",2018-12-01
216,67,Dua Lipa,Kiss and Make Up,"1,498",2018-12-01
217,68,Ella Mai,Trip,"1,494",2018-12-01
218,69,Queen,Bohemian Rhapsody - 2011 Mix,"1,485",2018-12-01
219,70,The Chainsmokers,Closer,"1,483",2018-12-01
220,71,Lil Baby,Drip Too Hard (Lil Baby & Gunna),"1,470",2018-12-01
221,72,Rita Ora,Let You Love Me,"1,468",2018-12-01
222,73,Ariana Grande,no tears left to cry,"1,445",2018-12-01
223,74,Marshmello,FRIENDS,"1,440",2018-12-01
224,75,Maroon 5,What Lovers Do,"1,429",2018-12-01
225,76,DJ Khaled,No Brainer,"1,425",2018-12-01
226,77,Imagine Dragons,Believer,"1,419",2018-12-01
227,78,Ariana Grande,Santa Tell Me,"1,409",2018-12-01
228,79,Camila Cabello,Havana (feat. Young Thug),"1,389",2018-12-01
229,80,Kwesta,Vur Vai,"1,388",2018-12-01
230,81,Martin Garrix,High On Life (feat. Bonn),"1,378",2018-12-01
231,82,Ed Sheeran,Shape of You,"1,372",2018-12-01
232,83,Kygo,Born To Be Yours,"1,372",2018-12-01
233,84,Clean Bandit,Solo (feat. Demi Lovato),"1,371",2018-12-01
234,85,Silk City,Electricity (with Dua Lipa),"1,366",2018-12-01
235,86,Journey,Don't Stop Believin',"1,363",2018-12-01
236,87,DJ Sumbody,Monate Mpolaye,"1,361",2018-12-01
237,88,Imagine Dragons,Natural,"1,350",2018-12-01
238,89,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,"1,347",2018-12-01
239,90,Meek Mill,On Me (feat. Cardi B),"1,330",2018-12-01
240,91,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),"1,330",2018-12-01
241,92,Eminem,Lucky You (feat. Joyner Lucas),"1,327",2018-12-01
242,93,Dua Lipa,IDGAF,"1,303",2018-12-01
243,94,Drake,God's Plan,"1,288",2018-12-01
244,95,Alan Walker,Darkside,"1,288",2018-12-01
245,96,Ariana Grande,breathin,"1,279",2018-12-01
246,97,French Montana,No Stylist,"1,276",2018-12-01
247,98,Sia,Audio,"1,249",2018-12-01
248,99,Marshmello,Silence,"1,244",2018-12-01
249,100,Metro Boomin,10 Freaky Girls (with 21 Savage),"1,238",2018-12-01
250,101,TOTO,Africa,"1,204",2018-12-01
251,102,Lukas Graham,Love Someone,"1,195",2018-12-01
252,103,Zara Larsson,Never Forget You,"1,189",2018-12-01
253,104,Wham!,Last Christmas,"1,174",2018-12-01
254,105,6LACK,Pretty Little Fears (feat. J. Cole),"1,174",2018-12-01
255,106,Dua Lipa,New Rules,"1,172",2018-12-01
256,107,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),"1,172",2018-12-01
257,108,The Chainsmokers,Beach House,"1,171",2018-12-01
258,109,Juice WRLD,Armed And Dangerous,"1,164",2018-12-01
259,110,DJ Maphorisa,iWalk Ye Phara,"1,163",2018-12-01
260,111,Billie Eilish,bellyache,"1,151",2018-12-01
261,112,NF,Let You Down,"1,147",2018-12-01
262,113,Sia,Thunderclouds,"1,147",2018-12-01
263,114,Khalid,Suncity (feat. Empress Of),"1,142",2018-12-01
264,115,Khalid,Young Dumb & Broke,"1,140",2018-12-01
265,116,Manqonqo,Eyadini,"1,134",2018-12-01
266,117,Post Malone,Psycho (feat. Ty Dolla $ign),"1,133",2018-12-01
267,118,Post Malone,I Fall Apart,"1,115",2018-12-01
268,119,Kygo,Remind Me to Forget,"1,097",2018-12-01
269,120,Cardi B,I Like It,"1,096",2018-12-01
270,121,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),"1,085",2018-12-01
271,122,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),"1,080",2018-12-01
272,123,benny blanco,I Found You (with Calvin Harris),"1,079",2018-12-01
273,124,Michael Bublé,It's Beginning to Look a Lot like Christmas,"1,071",2018-12-01
274,125,Cassper Nyovest,Who Got The Block Hot?,"1,062",2018-12-01
275,126,BobHelms,Jingle Bell Rock,"1,062",2018-12-01
276,127,Lauv,There's No Way (feat. Julia Michaels),"1,049",2018-12-01
277,128,Mlindo The Vocalist,"Macala (Radio Version) (feat. Sfeesoh, Kwesta & Thabsie)","1,021",2018-12-01
278,129,Selena Gomez,Wolves,"1,019",2018-12-01
279,130,Metro Boomin,Don't Come Out The House (with 21 Savage),"1,011",2018-12-01
280,131,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","1,011",2018-12-01
281,132,XXXTENTACION,Jocelyn Flores,"1,008",2018-12-01
282,133,Rudimental,These Days,"1,006",2018-12-01
283,134,Khalid,Love Lies (with Normani),"1,004",2018-12-01
284,1,Ariana Grande,"thank u, next","4,689",2018-12-02
285,2,Marshmello,Happier,"3,695",2018-12-02
286,3,Halsey,Without Me,"3,599",2018-12-02
287,4,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"3,237",2018-12-02
288,5,benny blanco,Eastside (with Halsey & Khalid),"3,064",2018-12-02
289,6,Sheck Wes,Mo Bamba,"2,936",2018-12-02
290,7,5 Seconds of Summer,Youngblood,"2,867",2018-12-02
291,8,Khalid,Better,"2,863",2018-12-02
292,9,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","2,778",2018-12-02
293,10,Dynoro,In My Mind,"2,744",2018-12-02
294,11,Kodak Black,ZEZE (feat. Travis Scott & Offset),"2,653",2018-12-02
295,12,Post Malone,Better Now,"2,522",2018-12-02
296,13,Travis Scott,SICKO MODE,"2,513",2018-12-02
297,14,George Ezra,Shotgun,"2,370",2018-12-02
298,15,6ix9ine,TIC TOC,"2,356",2018-12-02
299,16,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"2,321",2018-12-02
300,17,Billie Eilish,when the party's over,"2,225",2018-12-02
301,18,Lady Gaga,Shallow,"2,169",2018-12-02
302,19,Juice WRLD,Lucid Dreams,"2,148",2018-12-02
303,20,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,113",2018-12-02
304,21,Maroon 5,Girls Like You (feat. Cardi B),"2,061",2018-12-02
305,22,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,031",2018-12-02
306,23,Jonas Blue,Rise,"1,834",2018-12-02
307,24,Calvin Harris,Promises (with Sam Smith),"1,830",2018-12-02
308,25,Dean Lewis,Be Alright,"1,805",2018-12-02
309,26,XXXTENTACION,SAD!,"1,702",2018-12-02
310,27,Billie Eilish,come out and play,"1,696",2018-12-02
311,28,Meek Mill,Going Bad (feat. Drake),"1,691",2018-12-02
312,29,Mariah Carey,All I Want for Christmas Is You,"1,685",2018-12-02
313,30,Loud Luxury,Body (feat. Brando),"1,636",2018-12-02
314,31,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),"1,631",2018-12-02
315,32,Imagine Dragons,Bad Liar,"1,604",2018-12-02
316,33,Kygo,Happy Now,"1,595",2018-12-02
317,34,Zara Larsson,Ruin My Life,"1,595",2018-12-02
318,35,Khalid,Saturday Nights,"1,576",2018-12-02
319,36,Lauv,I Like Me Better,"1,542",2018-12-02
320,37,Tyga,Taste (feat. Offset),"1,508",2018-12-02
321,38,Little Mix,Woman Like Me (feat. Nicki Minaj),"1,487",2018-12-02
322,39,XXXTENTACION,Moonlight,"1,478",2018-12-02
323,40,Gucci Mane,Wake Up in the Sky,"1,474",2018-12-02
324,41,Zedd,The Middle,"1,472",2018-12-02
325,42,Bad Bunny,MIA (feat. Drake),"1,472",2018-12-02
326,43,Ava Max,Sweet but Psycho,"1,461",2018-12-02
327,44,Prince Kaybee,Banomoya,"1,458",2018-12-02
328,45,Anne-Marie,2002,"1,458",2018-12-02
329,46,XXXTENTACION,BAD!,"1,457",2018-12-02
330,47,Bazzi,Beautiful (feat. Camila Cabello),"1,449",2018-12-02
331,48,Post Malone,rockstar (feat. 21 Savage),"1,444",2018-12-02
332,49,Lil Peep,Falling Down - Bonus Track,"1,442",2018-12-02
333,50,AKA,Fela In Versace,"1,437",2018-12-02
334,51,Queen,Bohemian Rhapsody - 2011 Mix,"1,417",2018-12-02
335,52,Billie Eilish,lovely (with Khalid),"1,414",2018-12-02
336,53,6ix9ine,KIKA,"1,405",2018-12-02
337,54,Cardi B,Money,"1,369",2018-12-02
338,55,Drake,Nonstop,"1,358",2018-12-02
339,56,Zedd,Happy Now,"1,358",2018-12-02
340,57,6ix9ine,MAMA,"1,357",2018-12-02
341,58,Imagine Dragons,Thunder,"1,346",2018-12-02
342,59,Lady Zamar,Collide,"1,333",2018-12-02
343,60,Ariana Grande,Santa Tell Me,"1,323",2018-12-02
344,61,Imagine Dragons,Believer,"1,323",2018-12-02
345,62,Ella Mai,Trip,"1,322",2018-12-02
346,63,Martin Garrix,Ocean (feat. Khalid),"1,319",2018-12-02
347,64,Lil Baby,Drip Too Hard (Lil Baby & Gunna),"1,301",2018-12-02
348,65,Rita Ora,Let You Love Me,"1,295",2018-12-02
349,66,Drake,In My Feelings,"1,273",2018-12-02
350,67,The Chainsmokers,Closer,"1,258",2018-12-02
351,68,Ariana Grande,no tears left to cry,"1,247",2018-12-02
352,69,Dua Lipa,IDGAF,"1,246",2018-12-02
353,70,Dua Lipa,Kiss and Make Up,"1,245",2018-12-02
354,71,Ed Sheeran,Shape of You,"1,245",2018-12-02
355,72,Marshmello,FRIENDS,"1,241",2018-12-02
356,73,The Chainsmokers,This Feeling (feat. Kelsea Ballerini),"1,231",2018-12-02
357,74,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),"1,226",2018-12-02
358,75,Clean Bandit,Solo (feat. Demi Lovato),"1,225",2018-12-02
359,76,Alesso,REMEDY,"1,210",2018-12-02
360,77,Kanye West,I Love It (& Lil Pump),"1,199",2018-12-02
361,78,Maroon 5,What Lovers Do,"1,196",2018-12-02
362,79,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,"1,176",2018-12-02
363,80,Imagine Dragons,Natural,"1,173",2018-12-02
364,81,Tiësto,Jackie Chan,"1,173",2018-12-02
365,82,Wham!,Last Christmas,"1,160",2018-12-02
366,83,Drake,God's Plan,"1,151",2018-12-02
367,84,NF,Let You Down,"1,130",2018-12-02
368,85,Lukas Graham,Love Someone,"1,119",2018-12-02
369,86,Camila Cabello,Havana (feat. Young Thug),"1,102",2018-12-02
370,87,Eminem,Lucky You (feat. Joyner Lucas),"1,096",2018-12-02
371,88,Ariana Grande,breathin,"1,088",2018-12-02
372,89,Michael Bublé,It's Beginning to Look a Lot like Christmas,"1,084",2018-12-02
373,90,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),"1,077",2018-12-02
374,91,Marshmello,Silence,"1,058",2018-12-02
375,92,DJ Khaled,No Brainer,"1,052",2018-12-02
376,93,Kygo,Born To Be Yours,"1,043",2018-12-02
377,94,Billie Eilish,bellyache,"1,037",2018-12-02
378,95,French Montana,No Stylist,"1,029",2018-12-02
379,96,Post Malone,I Fall Apart,"1,014",2018-12-02
380,97,Lauv,There's No Way (feat. Julia Michaels),"1,012",2018-12-02
381,98,Zara Larsson,Never Forget You,"1,004",2018-12-02
382,99,BobHelms,Jingle Bell Rock,"1,003",2018-12-02
383,100,XXXTENTACION,Jocelyn Flores,"1,002",2018-12-02
384,1,Ariana Grande,"thank u, next","5,514",2018-12-03
385,2,Halsey,Without Me,"4,439",2018-12-03
386,3,Marshmello,Happier,"4,192",2018-12-03
387,4,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"3,775",2018-12-03
388,5,benny blanco,Eastside (with Halsey & Khalid),"3,553",2018-12-03
389,6,Khalid,Better,"3,369",2018-12-03
390,7,5 Seconds of Summer,Youngblood,"3,289",2018-12-03
391,8,Sheck Wes,Mo Bamba,"3,268",2018-12-03
392,9,Dynoro,In My Mind,"3,226",2018-12-03
393,10,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","3,150",2018-12-03
394,11,Kodak Black,ZEZE (feat. Travis Scott & Offset),"3,047",2018-12-03
395,12,Post Malone,Better Now,"2,906",2018-12-03
396,13,Travis Scott,SICKO MODE,"2,885",2018-12-03
397,14,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"2,616",2018-12-03
398,15,6ix9ine,TIC TOC,"2,537",2018-12-03
399,16,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,494",2018-12-03
400,17,Billie Eilish,when the party's over,"2,453",2018-12-03
401,18,Lady Gaga,Shallow,"2,397",2018-12-03
402,19,Meek Mill,Going Bad (feat. Drake),"2,364",2018-12-03
403,20,Juice WRLD,Lucid Dreams,"2,340",2018-12-03
404,21,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,328",2018-12-03
405,22,Maroon 5,Girls Like You (feat. Cardi B),"2,285",2018-12-03
406,23,George Ezra,Shotgun,"2,211",2018-12-03
407,24,Jonas Blue,Rise,"2,202",2018-12-03
408,25,Loud Luxury,Body (feat. Brando),"2,170",2018-12-03
409,26,Calvin Harris,Promises (with Sam Smith),"2,163",2018-12-03
410,27,XXXTENTACION,SAD!,"2,089",2018-12-03
411,28,Dean Lewis,Be Alright,"2,057",2018-12-03
412,29,Khalid,Saturday Nights,"2,023",2018-12-03
413,30,Lauv,I Like Me Better,"2,008",2018-12-03
414,31,Kygo,Happy Now,"1,980",2018-12-03
415,32,Imagine Dragons,Bad Liar,"1,934",2018-12-03
416,33,Billie Eilish,come out and play,"1,860",2018-12-03
